Country,Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Libya,71,72,5.525,1.044,1.3030000000000002,0.6729999999999999,0.416,0.133,0.152
Montenegro,72,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,73,74,5.4670000000000005,0.493,1.098,0.718,0.389,0.23,0.14400000000000002
Croatia,74,75,5.432,1.155,1.266,0.914,0.29600000000000004,0.119,0.022
Hong Kong,75,76,5.43,1.4380000000000002,1.277,1.122,0.44,0.258,0.287
Dominican Republic,76,77,5.425,1.015,1.401,0.779,0.4970000000000001,0.113,0.101
Bosnia and Herzegovina,77,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,78,79,5.372999999999998,1.183,1.36,0.8079999999999999,0.195,0.083,0.106
Malaysia,79,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,80,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,81,82,5.287000000000001,1.181,1.156,0.999,0.067,0.0,0.034
Mongolia,82,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
North Macedonia,83,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,84,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,85,86,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023
Turkmenistan,86,87,5.247000000000001,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,87,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,88,89,5.207999999999998,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076
Azerbaijan,89,90,5.207999999999998,1.043,1.147,0.769,0.35100000000000003,0.035,0.182
Lebanon,90,91,5.197,0.987,1.224,0.815,0.21600000000000005,0.166,0.027000000000000003
Indonesia,91,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028
China,92,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,93,94,5.175,0.741,1.346,0.851,0.5429999999999999,0.147,0.073
Bhutan,94,95,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998
Cameroon,95,96,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005
Bulgaria,96,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,97,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,98,99,4.944,0.569,0.8079999999999999,0.232,0.35200000000000004,0.154,0.09
Nepal,99,100,4.913,0.446,1.226,0.677,0.439,0.285,0.08900000000000001
Jordan,100,101,4.9060000000000015,0.8370000000000001,1.225,0.815,0.383,0.11,0.13
Benin,101,102,4.883,0.393,0.4370000000000001,0.397,0.349,0.175,0.08199999999999999
Congo (Brazzaville),102,103,4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,0.105,0.093
Gabon,103,104,4.799,1.057,1.183,0.5710000000000001,0.295,0.043,0.055
Laos,104,105,4.796,0.764,1.03,0.551,0.547,0.266,0.16399999999999998
South Africa,105,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,106,107,4.7189999999999985,0.947,0.848,0.8740000000000001,0.383,0.17800000000000002,0.027000000000000003
Venezuela,107,108,4.707,0.96,1.4269999999999998,0.805,0.154,0.064,0.047
Cambodia,108,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,109,110,4.6960000000000015,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,110,111,4.681,0.45,1.134,0.5710000000000001,0.292,0.153,0.07200000000000001
Somalia,111,112,4.668,0.0,0.698,0.268,0.5589999999999999,0.243,0.27
Namibia,112,113,4.6389999999999985,0.879,1.3130000000000002,0.477,0.401,0.07,0.056
Niger,113,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,114,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,115,116,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064
Iran,116,117,4.548,1.1,0.8420000000000001,0.785,0.305,0.27,0.125
Guinea,117,118,4.534,0.38,0.8290000000000001,0.375,0.332,0.207,0.086
Georgia,118,119,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998
Gambia,119,120,4.516,0.308,0.939,0.428,0.382,0.269,0.16699999999999998
Kenya,120,121,4.509,0.512,0.983,0.581,0.431,0.3720000000000001,0.053
Mauritania,121,122,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001
Mozambique,122,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,123,124,4.461,0.921,1.0,0.815,0.16699999999999998,0.059,0.055
Bangladesh,124,125,4.456,0.562,0.928,0.723,0.527,0.166,0.14300000000000002
Iraq,125,126,4.437,1.043,0.98,0.574,0.241,0.14800000000000002,0.08900000000000001
Congo (Kinshasa),126,127,4.418,0.094,1.125,0.35700000000000004,0.269,0.212,0.053
Mali,127,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052000000000000005
Sierra Leone,128,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,129,130,4.3660000000000005,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,130,131,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172
Chad,131,132,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078
Ukraine,132,133,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01
Ethiopia,133,134,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1
Swaziland,134,135,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135
Uganda,135,136,4.189,0.332,1.069,0.443,0.35600000000000004,0.252,0.06
Egypt,136,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,137,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,138,139,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085
India,139,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,140,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Comoros,141,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,142,143,3.933,0.274,0.916,0.555,0.14800000000000002,0.16899999999999998,0.041
Lesotho,143,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,144,145,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18
Zimbabwe,145,146,3.663,0.366,1.114,0.433,0.361,0.151,0.08900000000000001
Haiti,146,147,3.597,0.32299999999999995,0.688,0.449,0.026,0.419,0.11
Botswana,147,148,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1
Syria,148,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,149,150,3.41,0.191,0.56,0.495,0.443,0.218,0.08900000000000001
Yemen,150,151,3.38,0.287,1.163,0.463,0.14300000000000002,0.108,0.077
Rwanda,151,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,152,153,3.2310000000000003,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,153,154,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025
Central African Republic,154,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035
South Sudan,155,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091
