war_id,war_name,war_type,side1_code,side1_name,side2_code,side2_name,international_war,start_year1,start_month1,start_day1,end_year1,end_month1,end_day1,start_year2,start_month2,start_day2,end_year2,end_month2,end_day2,previous_war,initiation,combat_location,side1_fatalities,side2_fatalities,outcome,next_war
575,Third Turco-Montenegrin,5,640,Turkey,-8,Montenegro,0,1861,12,-9,1862,8,31,-8,-8,-8,-8,-8,-8,-8,Ottoman Empire,2,-9,-9,3,-8
576,Tungan Rebellion,5,710,China,-8,Muslims  in Sinkiang,0,1862,5,-9,1873,10,24,-8,-8,-8,-8,-8,-8,-8,Muslims  in Sinkiang,7,-9,-9,1,-8
577,Sioux-Minnesota,6,-8,Santee Sioux,-8,Settlers & militia,0,1862,8,17,1862,9,26,-8,-8,-8,-8,-8,-8,-8,Santee Sioux,1,217,851,2,-8
578,Bolivan Perez Rebellion,4,145,Boliva,-8,Gregorio Perez's followers,0,1862,9,15,1862,9,15,-8,-8,-8,-8,-8,-8,-8,Gregorio Perez,1,-9,-9,1,-8
580,Second Polish,5,365,Russia,-8,Poles,0,1863,1,22,1864,4,19,-8,-8,-8,-8,-8,-8,-8,Poles,2,10000,6500,1,-8
581,Second Argentina,4,160,Argentina,-8,Montoneros,0,1863,4,2,1863,11,12,-8,-8,-8,-8,-8,-8,-8,Montoneros,1,-9,-9,1,-8
582,Xinjiang Muslim Revolt,5,365,Russia,-8,-8,1,1871,6,24,1871,7,3,-8,-8,-8,-8,-8,-8,-8,Muslims,7,-9,-8,2,-8
582,Xinjiang Muslim Revolt,5,710,China,-8,Muslims,1,1864,7,-9,1871,7,3,-8,-8,-8,-8,-8,-8,-8,Muslims,7,-9,-9,2,-8
583,First  Cretan,5,640,Ottoman Empire,-8,Cretans,0,1866,5,29,1867,2,22,-8,-8,-8,-8,-8,-8,-8,Cretans,2,-9,-9,1,-8
585,Yellow Cliff Revolt,5,710,China,-8,Zhang Jizhong's followers,0,1866,10,-9,,10,-91866,-8,-8,-8,-8,-8,-8,-8,Zhang Jizhong,7,-9,-9,1,-8
586,Third Argentina,4,160,Argentina,-8,Montoneros,0,1866,12,15,1867,10,15,-8,-8,-8,-8,-8,-8,-8,Federalists,1,-9,-9,1,-8
587,Queretaro,4,70,Mexico,-8,Liberals,0,1867,2,6,1867,5,14,-8,-8,-8,-8,-8,-8,40,Liberals,1,1500,1000,2,-8
588,Meiji Restoration,4,740,Japan,-8,Tokugawa,0,1868,1,3,1868,7,4,-8,-8,-8,-8,-8,-8,-8,Japan,7,-9,-9,1,-8
590,Third Venezuelan,4,101,Venezuela,-8,Conservatives,0,1868,1,11,1868,8,14,1869,8,14,1871,1,7,-8,Conservatives,1,-9,-9,2,-8
591,Spanish Liberals,4,230,Spain,-8,Liberals,0,1868,9,18,1868,9,29,-8,-8,-8,-8,-8,-8,-8,Liberals,2,-9,-9,2,-8
592,Guerre des Cacos,4,41,Haiti,-8,Black peasants,0,1869,2,-9,1869,12,18,-8,-8,-8,-8,-8,-8,-8,Black peasants,1,-9,-9,2,-8
593,Fourth Argentina,5,160,Argentina,-8,Entre Rios Province,0,1870,5,20,1871,3,13,-8,-8,-8,-8,-8,-8,-8,Entre Rios Province,1,-9,-9,1,-8
595,Bolivia-Criollos,4,145,Bolivia,-8,Crillos,0,1870,11,24,1871,1,15,-8,-8,-8,-8,-8,-8,-8,Crillos,1,-9,-9,2,-8
596,Paris Commune,4,220,France,-8,Communards,0,1871,4,2,1871,5,29,-8,-8,-8,-8,-8,-8,-8,Communards,2,879,25000,1,-8
597,Third Carlist,4,230,Spain,-8,Carlists,0,1872,4,20,1876,2,20,-8,-8,-8,-8,-8,-8,-8,Carlists,2,7000,43000,1,-8
598,Catonalist Uprising,5,230,Spain,-8,Rebel cities (cantons),0,1874,-9,-9,1875,1,-9,-8,-8,-8,-8,-8,-8,-8,Rebel cities (cantons),2,-9,-9,1,-8
600,Fifth Argentina,4,160,Argentina,-8,Mitre led Rebels,0,1874,9,-9,1874,11,6,-8,-8,-8,-8,-8,-8,-8,Mitre led Rebels,1,-9,-9,1,-8
601,Bosnia & Bulgaria Revolt,5,640,Ottoman Empire,-8,Bosnia & Bulgaria,0,1875,6,30,1876,6,29,-8,-8,-8,-8,-8,-8,-8,Bosnia & Bulgaria,2,6000,3000,4,373
602,Diaz Revolt,4,70,Mexico,-8,Rebels,0,1876,3,-9,1876,11,23,-8,-8,-8,-8,-8,-8,-8,Rebels,1,1900,-9,2,-8
603,Defeat of Xinjiang Muslims,5,710,China,-8,Muslims,0,1876,4,-9,1877,12,1,-8,-8,-8,-8,-8,-8,-8,China,7,-9,-9,1,-8
605,Third Colombian,4,100,Colombia,-8,Conservatives,0,1876,7,26,1877,7,1,-8,-8,-8,-8,-8,-8,-8,Conservatives,1,2100,1770,1,-8
607,Satsuma Rebellion,5,740,Japan,-8,Satsumas,0,1877,1,29,1877,9,24,-8,-8,-8,-8,-8,-8,-8,Satsumas,7,7000,10000,1,-8
608,Argentine Indians,5,160,Argentina,-8,Indians,0,1879,4,6,1880,7,8,-8,-8,-8,-8,-8,-8,-8,Argentina,1,200,1500,1,-8
610,Fourth Buenos Aires,5,160,Argentina,-8,Buenos Aires,0,1880,6,21,1880,7,21,-8,-8,-8,-8,-8,-8,-8,Buenos Aires,1,400,800,1,-8
611,Haitian Civil War,4,41,Haiti,-8,Liberals,0,1883,3,27,1884,1,8,-8,-8,-8,-8,-8,-8,-8,Liberals,1,8000,100,1,-8
612,Fourth Colombian,4,100,Colombia,-8,Liberals,0,1884,11,15,1885,8,26,-8,-8,-8,-8,-8,-8,-8,Liberals,1,300,700,1,-8
613,Peru's National Problem,5,135,Peru,-8,Indians,0,1885,3,2,1885,5,25,-8,-8,-8,-8,-8,-8,-8,Indians,1,200,2000,1,-8
616,First Yemen Rebellion,5,640,Ottoman Empire,-8,Zaidi Imam,0,1890,4,-9,1892,9,-9,-8,-8,-8,-8,-8,-8,-8,Zaidi Imam,6,-9,-9,1,-8
617,Second Chilean,4,155,Chile,-8,Congressists,0,1891,1,7,1891,8,29,-8,-8,-8,-8,-8,-8,-8,Congressists,1,1000,700,2,-8
618,Zaili-Jinden Revolt,5,710,China,-8,Zaili & Jindan Sects,0,1891,11,11,1891,12,27,-8,-8,-8,-8,-8,-8,-8,Zaili & Jindan Sects,7,500,10000,1,-8
620,Brazil Federalists,5,140,Brazil,-8,Rio Grande do Sul,0,1893,2,2,1894,8,31,-8,-8,-8,-8,-8,-8,-8,Rio Grande do Sul,1,1500,-9,1,-8
621,Brazil Naval,4,140,Brazil,-8,Naval Royalists,0,1893,9,6,1894,4,16,-8,-8,-8,-8,-8,-8,-8,Naval Royalists,1,1000,-9,1,-8
623,Tonghak Rebellion,4,740,Japan,-8,-8,1,1894,10,24,1894,11,28,-8,-8,-8,-8,-8,-8,-8,Tonghak Society,7,-9,-8,1,-8
623,Tonghak Rebellion,4,730,Korea,-8,Tonghak Society,1,1894,2,29,1894,5,6,1894,9,14,1894,11,28,-8,Tonghak Society,7,-9,-9,1,-8
625,Third Peru,4,135,Peru,-8,Liberals,0,1894,10,15,1895,3,19,-8,-8,-8,-8,-8,-8,-8,Liberals,1,-9,-9,2,-8
626,Fifth Colombian,4,100,Colombia,-8,Liberals,0,1895,1,22,1895,3,15,-8,-8,-8,-8,-8,-8,-8,Liberals,1,400,800,1,-8
627,Ecuador Liberals,4,130,Ecuador,-8,liberal caudillos,0,1895,2,18,1895,9,22,-8,-8,-8,-8,-8,-8,-8,liberal caudillos,1,900,100,2,-8
628,First Gansu Muslim,5,710,China,-8,Gansu Muslims,0,1895,4,-9,1896,4,-9,-8,-8,-8,-8,-8,-8,-8,Gansu Muslims,7,-9,-9,1,-8
630,Druze-Turkish,5,640,Ottoman Empire,-8,Druze,0,1895,10,-9,1896,-9,-9,-8,-8,-8,-8,-8,-8,-8,Druze,6,-9,-9,1,-8
631,Second Cretan,5,640,Ottoman Empire,-8,Cretan Muslims,0,1896,3,10,1897,2,14,-8,-8,-8,-8,-8,-8,-8,Cretan Muslims,2,-9,-9,4,76
632,Third Brazil-Canudos,5,140,Brazil,-8,Canudos,0,1896,10,1,1897,10,5,-8,-8,-8,-8,-8,-8,-8,Brazil,1,2200,3000,1,-8
633,Fourth Venezuelan,4,101,Venezuela,-8,Castro Led Rebels,0,1899,5,24,1899,10,22,-8,-8,-8,-8,-8,-8,-8,Castro Led Rebels,1,1200,900,2,-8
635,Second Yaqui War,5,70,Mexico,-8,Yaqui Indians,0,1899,7,21,1900,1,18,-8,-8,-8,-8,-8,-8,-8,Yaqui Indians,1,100,1500,1,-8
636,Sixth Colombian (War of the 1000 Days),4,100,Colombia,-8,Liberals,0,1899,10,17,1902,11,21,-8,-8,-8,-8,-8,-8,-8,Liberals,1,47000,53000,1,-8
638,Fifth Venezuelan,4,101,Venezuela,-8,Matos Led Rebels,0,1901,12,19,1903,7,19,-8,-8,-8,-8,-8,-8,-8,Matos Led Rebels,1,1000,3000,1,-8
640,Ilinden,5,640,Ottoman Empire,-8,IMRO Rebels,0,1903,8,2,1903,11,2,-8,-8,-8,-8,-8,-8,-8,IMRO Rebels,2,5330,1000,1,-8
641,First Uruguay,4,165,Uruguay,-8,Blancos,0,1904,1,1,1904,9,1,-8,-8,-8,-8,-8,-8,-8,Blancos,1,-9,-9,1,-8
642,Second Yemen Rebellion,5,640,Ottoman Empire,-8,Imam Yahya's forces,0,1904,11,8,1906,1,10,-8,-8,-8,-8,-8,-8,-8,Yemen,6,30000,-9,6,-8
643,Bloody Sunday,4,365,Russia,-8,Workers/Peasants,0,1905,1,22,1906,1,1,-8,-8,-8,-8,-8,-8,-8,Workers/Peasants,2,1500,-9,1,-8
645,Romanian Peasant Revolt,4,360,Romania,-8,Peasants,0,1907,3,15,1907,4,30,-8,-8,-8,-8,-8,-8,-8,Peasants,2,2000,-9,1,-8
646,Overthrow of Abd el-Aziz,4,220,France,-8,-8,1,1907,8,7,1908,6,15,-8,-8,-8,-8,-8,-8,-8,Mulai el-Hafid,6,200,-8,2,-8
646,Overthrow of Abd el-Aziz,4,600,Morocco,-8,Mulai el-Hafid,1,1907,8,1,1908,9,1,-8,-8,-8,-8,-8,-8,-8,Mulai el-Hafid,6,400,800,2,-8
647,Iranian Constitution War,4,365,Russia,-8,-8,1,1909,4,30,1909,7,17,-8,-8,-8,-8,-8,-8,-8,Constitutionalists,6,100,-8,2,-8
647,Iranian Constitution War,4,630,Iran,-8,Constitutionalists,1,1908,6,23,1909,7,17,-8,-8,-8,-8,-8,-8,-8,Constitutionalists,6,-9,-9,2,-8
648,Young Turks Counter-coup,4,640,Ottoman Empire,-8,Anti-government troops,0,1909,4,14,1909,4,28,-8,-8,-8,-8,-8,-8,-8,Anti-government troops,6,-9,-9,1,-8
650,Second Albanian Revolt,5,640,Ottoman Empire,-8,Albania,0,1910,3,-9,1912,10,16,-8,-8,-8,-8,-8,-8,-8,Albania,2,-9,-9,4,100
651,Asir-Yemen Revolt,5,640,Ottoman Empire,-8,Yemen & Asir Imam Ibn Idris & Sayyid Muhammad,0,1910,10,15,1911,10,9,-8,-8,-8,-8,-8,-8,-8,Yemen & Asir,6,7000,2000,6,-8
652,Third Mexican,4,70,Mexico,-8,Liberals & Radicals,0,1910,11,20,1914,7,15,-8,-8,-8,-8,-8,-8,-8,Liberals & Radicals,1,56250,37500,2,-8
656,Paraguay,4,150,Paraguay,-8,Radicals,0,1911,7,15,1912,5,11,-8,-8,-8,-8,-8,-8,-8,Radicals,1,4000,1000,2,-8
657,First Nationalist,4,710,China,-8,Nat. Rel. Alliance,0,1911,10,11,1911,12,31,-8,-8,-8,-8,-8,-8,-8,Republicans,7,800,200,2,-8
658,Cuban Black Uprising,5,40,Cuba,-8,Patri do Indepentente,0,1912,5,20,1912,6,27,-8,-8,-8,-8,-8,-8,-8,Patri do Indepentente,1,50,1000,1,-8
670,Ecuadorian Civil War,5,130,Ecuador,-8,Esmeraldas province,0,1912,-9,-9,1914,-9,-9,-8,-8,-8,-8,-8,-8,-8,Esmeraldas province,1,-9,-9,1,-8
671,Second Nationalist,4,710,China,-8,Republicans,0,1913,7,12,1913,9,1,-8,-8,-8,-8,-8,-8,-8,Republicans,7,-9,-9,1,-8
672,China Pai Ling (White Wolf),5,710,China,-8,Pai-Lings,0,1914,3,15,1914,9,15,-8,-8,-8,-8,-8,-8,-8,Pai-Lings,7,-9,-9,1,-8
673,Fourth Mexican,4,2,United States,-8,-8,1,1915,3,15,1917,2,5,-8,-8,-8,-8,-8,-8,-8,Conventionists,1,15,-8,1,-8
673,Fourth Mexican,4,70,Mexico,-8,Conventionists,1,1914,11,19,1920,7,28,-8,-8,-8,-8,-8,-8,-8,Conventionists,1,18750,12500,1,-8
675,Southern China Revolt,5,710,China,-8,Yunnan Rebels,0,1916,1,-9,1918,11,17,-8,-8,-8,-8,-8,-8,-8,Yunnan Rebels,7,-9,-9,1,-8
676,Russia-Turkestan,5,365,Russia,-8,Kirghiz & Kazaks,0,1916,7,4,1917,2,27,-8,-8,-8,-8,-8,-8,-8,Kirghiz & Kazables,2,350,1000,1,-8
677,Russian Civil War,4,-8,-8,375,Finland,1,1919,4,15,1919,4,30,-8,-8,-8,-8,-8,-8,-8,,2,-8,50,1,-8
677,Russian Civil War,4,-8,-8,740,Japan,1,1918,8,3,1920,10,15,-8,-8,-8,-8,-8,-8,-8,,2,-8,1500,1,-8
677,Russian Civil War,4,365,USSR,-8,Anti-Bolsheviks,1,1917,12,9,1921,3,18,-8,-8,-8,-8,-8,-8,-8,Anti-Bolsheviks,2,475000,325000,1,-8
677,Russian Civil War,4,-8,-8,200,United Kingdom,1,1918,6,23,1920,3,15,-8,-8,-8,-8,-8,-8,-8,,2,-8,350,1,-8
677,Russian Civil War,4,-8,-8,2,United States of America,1,1918,7,1,1920,4,20,-8,-8,-8,-8,-8,-8,-8,,2,-8,275,1,-8
677,Russian Civil War,4,-8,-8,220,France,1,1918,6,23,1919,9,30,-8,-8,-8,-8,-8,-8,-8,,2,-8,50,1,-8
680,Finnish Civil War,4,255,Germany,-8,-8,1,1918,4,3,1918,5,16,-8,-8,-8,-8,-8,-8,-8,,2,950,-8,1,-8
680,Finnish Civil War,4,-8,-8,365,USSR,1,1918,1,28,1918,5,16,-8,-8,-8,-8,-8,-8,-8,,2,-8,400,1,-8
680,Finnish Civil War,4,375,Finland,-8,Red Guard,1,1918,1,28,1918,4,30,-8,-8,-8,-8,-8,-8,-8,Communists,2,5300,8500,1,-8
681,Western Ukrainian,6,-8,Ukraine Poles,-8,Ukrainians,0,1918,11,1,1919,2,13,-8,-8,-8,-8,-8,-8,-8,Poles,2,-9,-9,4,109
682,Sparticist Rising,7,-8,Socialists,-8,German Freikorps,0,1919,1,6,,5,1919,-8,-8,-8,-8,-8,-8,-8,Socialists,2,2100,70,2,-8
683,Hungary's Red Terror,4,310,Hungary,-8,Anti-Communists,0,1919,3,25,1920,2,15,-8,-8,-8,-8,-8,-8,-8,Anti-Communists,2,1000,500,2,-8
